*	VF1	VF2
-0.00112876545259155	5.07491347397075	2.49144854573881
-0.00112564045258523	5.07031118654409	2.49934323957774
-0.0011193904525868	5.05173527416871	2.51500801431633
-0.00111860920259232	5.04276542470336	2.51694741347766
-0.00111851154633769	5.03963357101392	2.51718951718748
-0.00111846271821037	5.03519534021188	2.51731035105179
-0.00111845661470511	5.03457060409906	2.51732545180318
-0.00111841999360252	5.02577692347557	2.51741590664578
-0.00111841694184989	5.02432338975364	2.51742342601364
-0.00111839863130569	5.00453914734617	2.51746837675848
-0.00111838642426676	4.90776798526349	2.51749747572539
-0.00111837421724204	4.65304975200437	2.51752427428596
-0.0011183711654752	4.56586671256311	2.51753051805201
-0.001118352854931	3.99265732942226	2.51756227907529
-0.00111833076140044	3.29116014244671	2.5175869289363
-0.0011182917235999	2.05190796420117	2.51759369148877
-0.00111821364798459	-0.423501951540509	2.51746627189437
-0.00111806450887286	-4.86294363128431	2.51672588536865
-0.00111800124307138	-5.01732807632313	2.51629788611385
-0.0011179474636549	-4.99941899242589	2.51591495674335
-0.00111789025271491	-4.99507448655028	2.51550160512654
-0.00111781019570856	-4.99517847313378	2.51492048474662
-0.00111765008172426	-4.9953048532102	2.51375644741962
-0.00111732985374147	-4.99536149340418	2.51142735688323
-0.00111668939776166	-4.99547233381118	2.50677005000244
-0.00111540848583047	-4.99569532549871	2.49746287664685
-0.00111284666193967	-4.99614029445501	2.47888139884499
-0.00110772301417228	-4.99702604631832	2.44185201781708
-0.00109747571865171	-4.99878086402145	2.36832614617272
-0.00107698112759635	-5.00222456871822	2.22338043748858
-0.00103599194548565	-5.0088549544167	1.94170241252615
-0.000954013581250024	-5.02113894740814	1.40958361934158
-0.000854013581246704	-5.03447832320684	0.813156743783512
-0.000754013581257595	-5.04615188271623	0.270143026212609
-0.000654013581254276	-5.05630403481268	-0.224017278148016
-0.000554013581250956	-5.06507106052929	-0.673642028563341
-0.000454013581247636	-5.07257848662898	-1.08271801516396
-0.000354013581258528	-5.07894092937166	-1.45489257628498
-0.000254013581255208	-5.08426271432242	-1.79349102333979
-0.000154013581251888	-5.08863869654151	-2.10154112792121
-5.40135812485687E-5	-5.09213394351888	-2.3817702535113
-2.90135812548442E-5	-5.09152378766205	-2.44677205083774
-2.27635812564131E-5	-5.08777213470913	-2.46292242050557
-1.02635812595508E-5	-5.07614021045733	-2.49488308164859
-4.01358124690887E-6	-5.06467442429129	-2.51058547806036
-8.88581254798737E-7	-5.0508265753854	-2.51837095738546
-4.979562504559E-7	-5.046009849199	-2.51934193651738
-4.49128123136688E-7	-5.04516499167269	-2.51946326347043
-3.5147188270912E-7	-5.0426494706709	-2.51970575813732
-3.02643755389909E-7	-5.04015510508143	-2.51982682812337
-2.78229691730303E-7	-5.03828404114519	-2.51988731704419
-2.66022652795073E-7	-5.03708682397127	-2.51991754691738
-2.41608603346322E-7	-5.0332663931902	-2.51997795099397
-2.29401564411091E-7	-5.02892929598891	-2.52000808240743
-2.23298044943476E-7	-5.02592367558498	-2.52002313009423
-1.98883981283871E-7	-4.96656279305337	-2.52008274469482
-1.9583222865549E-7	-4.9452039891397	-2.52009004697146
-1.775216844635E-7	-4.60606011340433	-2.52013088836686
-1.74469931835119E-7	-4.51657688168265	-2.52013699795905
-1.56159373432274E-7	-3.94136839924516	-2.52016787249351
-1.32397516949823E-7	-3.18711074725432	-2.52019259673202
-8.82650112998817E-8	-1.78635064578175	-2.52019231391057
0	1.01096994098206	-2.52001167004106
1.07399097393213E-7	4.40354412455968	-2.51946884151327
1.7607849400747E-7	4.99710081378599	-2.51901165286297
2.31407032424968E-7	5.0056585694355	-2.51861912061763
2.94860607930048E-7	4.99439474745619	-2.51816133808513
3.59095781332641E-7	4.99342244263718	-2.51769524041401
4.87566128359873E-7	4.99358590595996	-2.51676148643897
7.44506822414337E-7	4.99365617359002	-2.51489299922551
1.25838821030122E-6	4.99374463530894	-2.51115632748409
2.28615098629703E-6	4.99392348044864	-2.50368756664708
4.34167653806661E-6	4.99428077842381	-2.48877104835565
8.45272764182781E-6	4.9949926781475	-2.45902396379571
1.66748298493502E-5	4.99640571281058	-2.3998735557185
3.3119034264395E-5	4.99918912956938	-2.28293508136542
6.60074430942625E-5	5.00458883303801	-2.05439805415147
0.00013178426075422	5.01474672500972	-1.61783346206999
0.000231784260754209	5.02865562824702	-1.0032226587325
0.000331784260754198	5.04085116959292	-0.443521376245306
0.000431784260754187	5.05147925786878	0.0658707847900685
0.000531784260754176	5.06067942254004	0.529370470629732
0.000631784260754165	5.06858078305687	0.951075646807825
0.000731784260754154	5.07530143484537	1.33474214289813
0.000831784260754143	5.08094893432619	1.68379651094445
0.000931784260754132	5.08562109416164	2.0013595102288
0.00103178426075412	5.08940525657226	2.29026857351303
0.00105678426075406	5.09018202361156	2.35732768337557
0.00110678426075417	5.07688059700889	2.48730503010675
0.00110990926075427	5.07285415316147	2.49521995936447
0.00111615926075426	5.05941478689842	2.51094379846088
0.00111694051075428	5.05634499525213	2.51289666913623
0.00111850301075433	5.04427604724625	2.51678775200273
0.00111855183887943	5.04348591755594	2.51690900413897
0.00111864949512941	5.04105886327189	2.51715134967389
0.00111869832325451	5.03868164873507	2.51727235238159
0.00111872273731706	5.0369437551702	2.51733281084016
0.00111873494434822	5.0358498946493	2.51736302669964
0.00111875935841077	5.03251809499749	2.51742340977959
0.00111877156544193	5.0290943488534	2.51745354392499
0.00111877766895763	5.02683347104655	2.51746859746561
0.00111879597950448	5.01181426476347	2.51751361558635
0.00111880666065689	4.98931186111811	2.51753969199707
0.00111881886768805	4.85988526395039	2.51756845739867
0.00111883107471922	4.58035752500252	2.51759456736023
0.00111883412647695	4.49024252480911	2.51760059500693
0.00111885243702381	3.91441125573725	2.51763098853627
0.00111887683301037	3.13992422365845	2.51765549303696
0.00111892227689347	1.69751013215661	2.51765219819254
0.0011190131646599	-1.18264814435665	2.51745468343757
0.00111911946570697	-4.53994268334192	2.51690149797263
0.00111918737497096	-5.00737538949744	2.51644608214192
0.00111924158542798	-5.00521723824355	2.51606064028673
0.00111929886089213	-4.9957852609425	2.51564698473745
0.00111936392541834	-4.99511863565188	2.51517467542259
0.00111949405447054	-4.99529574079287	2.51422858332153
0.00111975431257516	-4.99536023255084	2.51233549602863
0.00112027482878418	-4.9954496678756	2.5085497136073
0.00112131586120245	-4.99563088550287	2.50098291672506
0.00112339792603899	-4.99599284805126	2.48587092856704
0.00112756205571207	-4.99671400417537	2.45573519397523
0.00113589031505801	-4.9981452699668	2.3958164862783
0.00115254683374988	-5.00096404175142	2.27737679111709
0.00118585987113362	-5.00643016494	2.04597447250519
0.00125248594590133	-5.01670477503595	1.60419513082427
0.00135248594590132	-5.03058574278752	0.990419567877757
0.0014524859459013	-5.04275552347953	0.431485579182411
0.00155248594590129	-5.05335997320352	-0.0772059474874976
0.00165248594590128	-5.06253847669756	-0.540067315804449
0.00175248594590127	-5.07041998898101	-0.961191446966424
0.00185248594590126	-5.07712244505219	-1.34432920415297
0.00195248594590125	-5.08275325200207	-1.69290249079759
0.00205248594590124	-5.08741008574613	-2.01002779178939
0.00215248594590123	-5.09117982262614	-2.29853801642029
0.00217748594590117	-5.09195174685307	-2.36550382491109
0.00222748594590128	-5.075959587788	-2.49522261688567
0.00223061094590138	-5.07115083213864	-2.50311606301559
0.00223686094590136	-5.04920282043734	-2.51876604553122
0.00223705625840132	-5.04672101563053	-2.51925168704856
0.00223715391465129	-5.0449114470957	-2.51949431436992
0.00223720274277639	-5.04372994851589	-2.51961556522792
0.00223730039902637	-5.03902613283077	-2.51985778301459
0.00223731260605753	-5.03805988222403	-2.519888024769
0.00223733702012008	-5.03525244985717	-2.5199484671969
0.00223734922715124	-5.03263726248355	-2.51997864320309
0.00223735533066693	-5.03098135172473	-2.51999372123374
0.00223737364121379	-5.02173296368787	-2.52003886489812
0.00223739195176065	-4.97294926086984	-2.52008350484063
0.00223741636582298	-4.43975305841877	-2.52013625118467
0.00223742857285414	-4.0656944266788	-2.52015694511499
0.0022374491524495	-3.41928274351107	-2.52018178881911
0.00223747838569732	-2.49487619452413	-2.52019487741709
0.00223752997128268	-0.860695907239081	-2.52015390625777
0.00223757506767397	0.567770947267801	-2.52005099633412
0.00223766526045632	3.41896469275213	-2.51965760999526
0.00223773130066474	4.92145061708136	-2.51923741523249
0.0022377951307706	5.02535160879909	-2.5187907772769
0.00223785269443044	4.99721556273861	-2.5183768927718
0.00223789994594759	4.99328889698944	-2.51803431083705
0.00223798004523301	4.99347427824338	-2.51745226323783
0.00223814024380364	4.99361970855112	-2.51628727087035
0.00223846064094491	4.99367543095334	-2.51395699051405
0.00223910143522765	4.99378617110553	-2.5092978818019
0.00224038302379292	4.99400925159946	-2.49998757286025
0.00224294620092347	4.99445438018679	-2.48140022107498
0.00224807255518455	4.99534043812542	-2.44435949935755
0.00225832526370673	4.99709584677696	-2.37081162469825
0.0022788306807513	5.00054067311574	-2.22582382772897
0.00231984151484044	5.00717308894976	-1.94406840298015
0.00240186318301872	5.01946037234387	-1.41181930174922
0.0025018631830187	5.03279591732767	-0.815573847142381
0.00260186318301869	5.0444661349205	-0.272725674167452
0.00270186318301868	5.0546153990328	0.221283855374298
0.00280186318301867	5.06337995247543	0.670771380242916
0.00290186318301866	5.07088528510156	1.07972250654307
0.00300186318301865	5.07724597891017	1.45178347001411
0.00310186318301864	5.08256632810274	1.79027857022859
0.00320186318301863	5.08694115920683	2.09823465527165
0.00330186318301862	5.09043595565065	2.37837864972879
0.00332686318301856	5.09001135849364	2.4433652189244
0.0033518631830185	5.06415263611118	2.50691080131283
0.0033549881830186	5.05252487996901	2.51470504121628
0.00335537880801851	5.04972187248837	2.51567792161435
0.00335557412051846	5.04788372473437	2.5161638989757
0.00335596474551836	5.04060227334972	2.51713396146757
0.00335601357364346	5.03833109336786	2.51725494896893
