*Frequency 	VF2-abs (dB)	VF2-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
10	39.9987893198237	-0.00114686844556539	0	0
10.162486928707	39.9987893197674	-0.00116550355872585	0	0
10.327614057614	39.9987893197098	-0.00118444146806001	0	0
10.4954242865232	39.9987893196484	-0.00120368709369313	0	0
10.6659612123026	39.9987893195884	-0.00122324543560672	0	0
10.839269140212	39.998789319524	-0.00124312157497749	0	0
11.0153930954142	39.9987893194573	-0.00126332067564136	0	0
11.1943788346715	39.9987893193896	-0.00128384798530132	0	0
11.3762728582343	39.9987893193191	-0.00130470883687275	0	0
11.561122421921	39.998789319249	-0.00132590865006333	0	0
11.7489755493953	39.9987893191731	-0.00134745293250104	0	0
11.9398810446427	39.9987893190939	-0.00136934728132911	0	0
12.1338885046498	39.9987893190154	-0.00139159738473178	0	0
12.3310483322891	39.9987893189319	-0.00141420902322515	0	0
12.5314117494142	39.998789318848	-0.00143718807130924	0	0
12.7350308101666	39.9987893187612	-0.00146054049885783	0	0
12.9419584144999	39.9987893186691	-0.00148427237284609	0	0
13.1522483219224	39.9987893185743	-0.00150838985872914	0	0
13.3659551654644	39.9987893184781	-0.00153289922227798	0	0
13.5831344658715	39.9987893183788	-0.00155780683092712	0	0
13.8038426460288	39.9987893182752	-0.00158311915566627	0	0
14.0281370456196	39.9987893181686	-0.0016088427726153	0	0
14.2560759360219	39.998789318058	-0.00163498436466591	0	0
14.4877185354476	39.9987893179447	-0.00166155072343057	0	0
14.7231250243272	39.9987893178263	-0.00168854875081165	0	0
14.9623565609443	39.9987893177055	-0.00171598546085261	0	0
15.205475297325	39.9987893175804	-0.00174386798154403	0	0
15.4525443953841	39.9987893174487	-0.00177220355679005	0	0
15.7036280433355	39.9987893173168	-0.00180099954808113	0	0
15.9587914723673	39.9987893171786	-0.00183026343657173	0	0
16.2181009735893	39.998789317036	-0.00186000282500338	0	0
16.4816239152551	39.9987893168875	-0.00189022543964274	0	0
16.7494287602644	39.9987893167368	-0.00192093913225622	0	0
17.0215850839495	39.9987893165772	-0.00195215188218796	0	0
17.298163592151	39.9987893164164	-0.00198387179851843	0	0
17.5792361395869	39.9987893162477	-0.00201610712204019	0	0
17.8648757485205	39.9987893160763	-0.00204886622747357	0	0
18.1551566277314	39.9987893158967	-0.00208215762549056	0	0
18.4501541917947	39.9987893157116	-0.00211598996523346	0	0
18.7499450806742	39.9987893155206	-0.00215037203623929	0	0
19.0546071796325	39.9987893153257	-0.00218531277099458	0	0
19.3642196394661	39.9987893151202	-0.0022208212470395	0	0
19.6788628970684	39.9987893149106	-0.00225690668927519	0	0
19.9986186963274	39.9987893146928	-0.00229357847290104	0	0
20.3235701093622	39.9987893144695	-0.00233084612505703	0	0
20.6538015581053	39.998789314239	-0.0023687193278236	0	0
20.9893988362352	39.9987893139997	-0.00240720792061607	0	0
21.3304491314658	39.9987893137537	-0.00244632190282347	0	0
21.6770410481969	39.9987893134981	-0.00248607143597956	0	0
22.0292646305346	39.9987893132351	-0.00252646684718114	0	0
22.3872113856834	39.9987893129618	-0.00256751863093502	0	0
22.7509743077207	39.9987893126816	-0.0026092374526091	0	0
23.1206479017559	39.9987893123923	-0.00265163415044337	0	0
23.4963282084831	39.9987893120924	-0.00269471973936091	0	0
23.8781128291318	39.9987893117839	-0.00273850541268253	0	0
24.2661009508242	39.9987893114641	-0.00278300254602436	0	0
24.6603933723434	39.9987893111327	-0.00282822269958109	0	0
25.0610925303211	39.9987893107913	-0.00287417762146898	0	0
25.4683025258504	39.9987893104409	-0.00292087925090735	0	0
25.8821291515309	39.9987893100754	-0.00296833972065382	0	0
26.3026799189538	39.9987893097005	-0.0030165713609603	0	0
26.7300640866331	39.9987893093138	-0.00306558670251735	0	0
27.1643926883908	39.9987893089127	-0.00311539847921158	0	0
27.6057785622035	39.9987893084995	-0.0031660196321358	0	0
28.0543363795171	39.9987893080721	-0.00321746331266183	0	0
28.5101826750391	39.9987893076315	-0.00326974288575176	0	0
28.9734358770132	39.998789307177	-0.00332287193350171	0	0
29.4442163379876	39.9987893067071	-0.00337686425887911	0	0
29.9226463660819	39.9987893062217	-0.00343173388898849	0	0
30.4088502567628	39.9987893057181	-0.00348749507889287	0	0
30.9029543251359	39.9987893052026	-0.00354416231516952	0	0
31.4050869387622	39.9987893046649	-0.00360175031995238	0	0
31.9153785510076	39.9987893041138	-0.00366027405452791	0	0
32.4339617349349	39.998789303543	-0.00371974872328475	0	0
32.9609712177458	39.9987893029542	-0.00378018977767305	0	0
33.4965439157828	39.9987893023457	-0.0038416129202439	0	0
34.0408189701001	39.9987893017167	-0.00390403410853594	0	0
34.5939377826122	39.9987893010679	-0.0039674695595174	0	0
35.1560440528298	39.9987893003962	-0.00403193575355953	0	0
35.7272838151929	39.9987892997055	-0.00409744943918395	0	0
36.3078054770101	39.9987892989901	-0.00416402763642463	0	0
36.897759857015	39.9987892982514	-0.00423168764238673	0	0
37.4973002245484	39.9987892974884	-0.00430044703489937	0	0
38.1065823393773	39.9987892966999	-0.00437032367769188	0	0
38.7257644921617	39.998789295886	-0.0044413357246932	0	0
39.3550075455777	39.9987892950459	-0.00451350162449636	0	0
39.9944749761097	39.9987892941789	-0.00458684012582965	0	0
40.6443329165213	39.9987892932836	-0.00466137028202216	0	0
41.3047501990161	39.9987892923565	-0.0047371114556646	0	0
41.9758983991007	39.998789291401	-0.00481408332453391	0	0
42.6579518801593	39.9987892904137	-0.00489230588544947	0	0
43.3510878387529	39.998789289395	-0.00497179946091358	0	0
