*Frequency 	VF2-abs (dB)	VF2-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
10	40.0846400137058	-0.0966762612853285	0	0
10.162486928707	40.0846396101658	-0.098247121125654	0	0
10.327614057614	40.0846391934054	-0.0998435052345986	0	0
10.4954242865232	40.0846387629912	-0.101465828340709	0	0
10.6659612123026	40.0846383184762	-0.10311451191096	0	0
10.839269140212	40.0846378593983	-0.104789984260226	0	0
11.0153930954142	40.0846373852804	-0.106492680662531	0	0
11.1943788346715	40.0846368956297	-0.108223043464106	0	0
11.3762728582343	40.0846363899375	-0.109981522198282	0	0
11.561122421921	40.0846358676782	-0.11176857370225	0	0
11.7489755493953	40.084635328309	-0.113584662235712	0	0
11.9398810446427	40.0846347712693	-0.115430259601468	0	0
12.1338885046498	40.0846341959803	-0.117305845267951	0	0
12.3310483322891	40.0846336018442	-0.119211906493759	0	0
12.5314117494142	40.0846329882433	-0.121148938454208	0	0
12.7350308101666	40.0846323545402	-0.123117444369934	0	0
12.9419584144999	40.0846317000761	-0.125117935637594	0	0
13.1522483219224	40.084631024171	-0.127150931962677	0	0
13.3659551654644	40.0846303261224	-0.129216961494483	0	0
13.5831344658715	40.0846296052048	-0.131316560963282	0	0
13.8038426460288	40.0846288606691	-0.13345027581971	0	0
14.0281370456196	40.0846280917415	-0.135618660376423	0	0
14.2560759360219	40.0846272976229	-0.137822277952052	0	0
14.4877185354476	40.084626477488	-0.140061701017491	0	0
14.7231250243272	40.0846256304845	-0.142337511344571	0	0
14.9623565609443	40.0846247557322	-0.14465030015713	0	0
15.205475297325	40.0846238523219	-0.147000668284554	0	0
15.4525443953841	40.0846229193148	-0.149389226317797	0	0
15.7036280433355	40.0846219557413	-0.15181659476794	0	0
15.9587914723673	40.0846209606	-0.15428340422732	0	0
16.2181009735893	40.0846199328567	-0.156790295533277	0	0
16.4816239152551	40.0846188714434	-0.159337919934558	0	0
16.7494287602644	40.0846177752569	-0.161926939260421	0	0
17.0215850839495	40.0846166431581	-0.164558026092482	0	0
17.298163592151	40.0846154739705	-0.167231863939354	0	0
17.5792361395869	40.084614266479	-0.16994914741412	0	0
17.8648757485205	40.0846130194287	-0.172710582414679	0	0
18.1551566277314	40.0846117315236	-0.175516886307031	0	0
18.4501541917947	40.0846104014254	-0.17836878811152	0	0
18.7499450806742	40.0846090277518	-0.181267028692114	0	0
19.0546071796325	40.0846076090751	-0.184212360948746	0	0
19.3642196394661	40.084606143921	-0.187205550012779	0	0
19.6788628970684	40.084604630767	-0.19024737344564	0	0
19.9986186963274	40.0846030680404	-0.193338621440681	0	0
20.3235701093622	40.0846014541174	-0.196480097028304	0	0
20.6538015581053	40.0845997873205	-0.199672616284428	0	0
20.9893988362352	40.0845980659178	-0.202917008542323	0	0
21.3304491314658	40.0845962881201	-0.206214116607886	0	0
21.6770410481969	40.0845944520801	-0.209564796978409	0	0
22.0292646305346	40.0845925558897	-0.212969920064891	0	0
22.3872113856834	40.0845905975782	-0.21643037041796	0	0
22.7509743077207	40.0845885751107	-0.219947046957446	0	0
23.1206479017559	40.0845864863852	-0.223520863205696	0	0
23.4963282084831	40.0845843292313	-0.227152747524648	0	0
23.8781128291318	40.0845821014071	-0.230843643356766	0	0
24.2661009508242	40.0845798005974	-0.234594509469875	0	0
24.6603933723434	40.0845774244112	-0.238406320205955	0	0
25.0610925303211	40.0845749703792	-0.242280065733982	0	0
25.4683025258504	40.0845724359511	-0.246216752306856	0	0
25.8821291515309	40.0845698184931	-0.250217402522494	0	0
26.3026799189538	40.0845671152852	-0.254283055589154	0	0
26.7300640866331	40.0845643235182	-0.258414767595058	0	0
27.1643926883908	40.0845614402908	-0.262613611782381	0	0
27.6057785622035	40.0845584626069	-0.266880678825677	0	0
28.0543363795171	40.084555387372	-0.271217077114816	0	0
28.5101826750391	40.0845522113903	-0.275623933042504	0	0
28.9734358770132	40.0845489313615	-0.280102391296452	0	0
29.4442163379876	40.0845455438769	-0.284653615156282	0	0
29.9226463660819	40.0845420454163	-0.289278786795234	0	0
30.4088502567628	40.0845384323443	-0.293979107586765	0	0
30.9029543251359	40.084534700906	-0.298755798416094	0	0
31.4050869387622	40.0845308472239	-0.303610099996805	0	0
31.9153785510076	40.0845268672934	-0.308543273192563	0	0
32.4339617349349	40.0845227569786	-0.313556599344034	0	0
32.9609712177458	40.0845185120082	-0.318651380601101	0	0
33.4965439157828	40.084514127971	-0.323828940260438	0	0
34.0408189701001	40.0845096003112	-0.329090623108561	0	0
34.5939377826122	40.0845049243238	-0.334437795770408	0	0
35.1560440528298	40.0845000951498	-0.339871847063561	0	0
35.7272838151929	40.0844951077709	-0.345394188358199	0	0
36.3078054770101	40.0844899570045	-0.351006253942852	0	0
36.897759857015	40.0844846374981	-0.356709501396081	0	0
37.4973002245484	40.0844791437241	-0.362505411964145	0	0
38.1065823393773	40.0844734699736	-0.368395490944782	0	0
38.7257644921617	40.0844676103508	-0.374381268077179	0	0
39.3550075455777	40.0844615587669	-0.380464297938233	0	0
39.9944749761097	40.0844553089334	-0.386646160345221	0	0
40.6443329165213	40.084448854356	-0.392928460764952	0	0
41.3047501990161	40.0844421883277	-0.399312830729527	0	0
41.9758983991007	40.0844353039216	-0.405800928258808	0	0
42.6579518801593	40.0844281939842	-0.412394438289691	0	0
43.3510878387529	40.0844208511274	-0.419095073112304	0	0
44.0554863506553	40.0844132677214	-0.425904572813232	0	0
44.7713304176363	40.0844054358863	-0.432824705725887	0	0
45.4988060150049	40.084397347484	-0.439857268888126	0	0
